1. Fatura Tarihi,2. Son Endeks Puant
31-12-2023,"10.267,780"
29-02-2024,"10.362,494"
30-06-2023,"3.657,148"
31-03-2024,"11.688,711"
31-01-2024,"13.279,199"
31-05-2023,"4.922,314"
29-02-2024,"14.019,369"
31-05-2024,"16.225,864"
31-08-2023,"7.642,713"
31-08-2023,"7.642,713"
31-05-2023,"1.536,423"
31-05-2024,"14.204,701"
31-01-2024,"9.174,483"
30-11-2023,"11.647,696"
30-06-2023,"6.016,693"
31-07-2023,"4.716,798"
30-09-2023,"9.638,057"
30-06-2023,"16.307,845"
31-10-2023,"10.633,196"
31-10-2023,"26.380,843"
30-11-2023,"10.106,764"
31-12-2023,"8.357,499"
31-12-2023,"14.346,082"
31-07-2023,"23.875,045"
30-09-2023,"22.968,996"
31-05-2023,"3.349,404"
30-11-2023,"7.612,445"
31-10-2023,"8.904,521"
29-02-2024,"12.479,312"
29-02-2024,"12.479,312"
31-01-2024,"11.063,265"
31-03-2024,"14.864,813"
31-05-2024,"13.115,434"
30-06-2024,"16.153,76"
30-06-2024,"16.153,760"
30-04-2024,"13.502,067"
31-12-2023,"10.267,780"
29-02-2024,"10.362,494"
30-06-2023,"3.657,148"
31-03-2024,"11.688,711"
31-01-2024,"13.279,199"
31-05-2023,"20.896,526"
29-02-2024,"14.019,369"
31-05-2024,"16.225,864"
31-08-2023,"7.642,713"
31-08-2023,"7.642,713"
31-05-2023,"2.145,766"
31-05-2024,"14.204,701"
31-01-2024,"9.174,483"
30-11-2023,"11.647,696"
30-06-2023,"6.016,693"
31-07-2023,"4.716,798"
30-09-2023,"9.638,057"
30-06-2023,"16.307,845"
31-10-2023,"10.633,196"
31-10-2023,"6.985,790"
30-11-2023,"10.106,764"
31-12-2023,"8.357,499"
31-12-2023,"12.486,734"
31-07-2023,"23.875,045"
30-09-2023,"22.968,996"
31-05-2023,"12.620,666"
30-11-2023,"7.612,445"
31-10-2023,"8.904,521"
29-02-2024,"12.479,312"
29-02-2024,"12.479,312"
31-01-2024,"11.063,265"
31-03-2024,"14.864,813"
31-05-2024,"13.115,434"
30-06-2024,"16.153,76"
30-06-2024,"16.153,76"
30-04-2024,"13.502,067"
